hex_id,amenity_types
882830876bfffff,"bbq,bench,bicycle_parking,bicycle_rental,bicycle_repair_station,bus_station,cafe,drinking_water,fire_station,parking,parking_space,post_box,public_bookcase,recycling,restaurant,school,shower,theatre,toilets,vending_machine,waste_basket"
882830820bfffff,"bench,cafe,drinking_water,events_venue,parking,place_of_worship,public_bath,school,toilets,waste_basket"
8828308257fffff,"bbq,bicycle_rental,cafe,childcare,clinic,fast_food,fire_station,parking,pharmacy,place_of_worship,post_box,post_office,restaurant,school,toilets"
88283095c7fffff,"bar,bench,bicycle_parking,cafe,clinic,dentist,doctors,fast_food,fuel,parking,place_of_worship,police,post_box,post_office,restaurant,school,social_centre,training,vending_machine,veterinary,waste_basket"
88283095a5fffff,"arts_centre,bar,bench,bicycle_parking,bicycle_rental,cafe,clock,dojo,drinking_water,hospital,parking,parking_entrance,place_of_worship,place_of_worship;monastery,police,post_box,public_bookcase,reception_desk,recycling,restaurant,school,shelter,table,toilets,training,university,vending_machine,waste_basket"
8828309539fffff,"bar,bench,bicycle_parking,bicycle_rental,cafe,college,dentist,drinking_water,ice_cream,parking,place_of_worship,post_box,school,toilets,waste_basket"
88283082bbfffff,"atm,bank,bar,bench,bicycle_parking,cafe,clinic,drinking_water,fast_food,fire_station,fountain,hospital,ice_cream,library,motorcycle_parking,parking,place_of_worship,post_box,restaurant,school,taxi,toilets,veterinary,waste_basket"
882830828bfffff,"Pet grooming shop,arts_centre,atm,bank,bar,bench,bicycle_parking,bicycle_rental,bus_station,cafe,childcare,clinic,college,community_centre,cooking_school,coworking_space,dentist,doctors,drinking_water,fast_food,fire_station,karaoke_box,kindergarten,motorcycle_parking,nightclub,parking,pharmacy,place_of_worship,post_box,pub,public_bookcase,recycling,restaurant,school,shelter,social_centre,social_facility,toilets,university,vending_machine,veterinary,waste_basket"
88283082ebfffff,"arts_centre,bar,bench,bicycle_parking,bicycle_rental,cafe,dojo,drinking_water,fire_station,fuel,hospital,ice_cream,parking,place_of_worship,post_box,post_depot,pub,public_bookcase,restaurant,school,social_centre,theatre,toilets,university,waste_basket"
8828308761fffff,"bar,bench,bicycle_parking,boat_storage,cafe,charging_station,clock,community_centre,drinking_water,fountain,harbourmaster,parking,parking_space,post_box,school,theatre,toilets,waste_basket"
8828308293fffff,"animal_boarding,atm,bank,bicycle_parking,cafe,cinema,clinic,college,doctors,drinking_water,fast_food,hospital,parking,parking_space,place_of_worship,post_box,post_office,restaurant,social_facility,toilets,waste_basket"
8828308251fffff,"bench,doctors,kindergarten,parking,place_of_worship,post_box,school,shelter,telephone"
8828309507fffff,"bank,bar,bicycle_rental,cafe,childcare,fast_food,fuel,library,parking,pharmacy,place_of_worship,post_office,restaurant,school,social_facility"
88283082b5fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,childcare,clinic,clock,community_centre,dentist,doctors,drinking_water,fast_food,fire_station,grocery,hospital,ice_cream,kindergarten,library,motorcycle_parking,nightclub,parking,parking_entrance,pharmacy,place_of_worship,police,popcorn,post_box,post_office,pub,public_bookcase,restaurant,school,spa,stripclub,taxi,telephone,theatre,toilets,vending_machine,waste_basket"
8828308291fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_sharing,charging_station,clinic,doctors,drinking_water,fast_food,fire_station,hospital,kindergarten,loading_dock,motorcycle_parking,parking,parking_entrance,parking_space,pharmacy,place_of_worship,post_box,public_bookcase,research_institute,restaurant,school,social_facility,taxi,trolley_bay,university,waste_basket"
88283080d9fffff,"atm,bar,bench,bicycle_parking,bicycle_rental,cafe,chocolate;dessert;ice_cream,community_centre,cooking_school,fountain,ice_cream,letter_box,parcel_locker,parking,parking_entrance,post_box,pub,recycling,restaurant,shelter,taxi,toilets,university,vending_machine,waste_basket"
88283082bdfffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,car_rental,car_sharing,clock,community_centre,dentist,doctors,dojo,drinking_water,event,fast_food,fountain,hookah_lounge,hospital,ice_cream,library,motorcycle_parking,nightclub,parking,parking_entrance,parking_space,pharmacy,place_of_worship,post_box,pub,recycling,restaurant,school,social_centre,taxi,theatre,vending_machine,waste_basket"
8828308211fffff,"bank,bicycle_parking,bicycle_rental,cafe,community_centre,fast_food,fixme,fuel,marketplace,parking,place_of_worship,recycling,restaurant,school,telephone,toilets"
8828309557fffff,"cafe,drinking_water,fire_station,fuel,parking,pharmacy,place_of_worship,restaurant,school"
882830950bfffff,"bar,fast_food,parking,place_of_worship,post_box,restaurant,school,veterinary"
8828309529fffff,"bbq,bench,bicycle_parking,community_centre,drinking_water,parking,place_of_worship,public_bookcase,school,theatre,toilets,waste_basket"
8828309501fffff,"atm,bank,bar,bicycle_rental,cafe,dentist,fast_food,fuel,music_school,parking,payment_centre,pharmacy,place_of_worship,post_box,post_office,restaurant,school,social_centre"
88283080c9fffff,"atm,bench,bicycle_parking,bicycle_rental,cafe,drinking_water,events_venue,fountain,motorcycle_parking,parking,post_box,post_office,pub,restaurant,school,studio,theatre,toilets,university,vending_machine,waste_basket,waste_disposal"
882830823bfffff,"parking,post_depot"
88283082cdfffff,"bar,bench,bicycle_parking,bicycle_rental,cafe,fast_food,fuel,parking,place_of_worship,post_box,restaurant,school"
88283082d3fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,clinic,community_centre,drinking_water,fast_food,fire_station,ice_cream,library,music_school,parking,pharmacy,photo_booth,place_of_worship,police,post_box,post_office,pub,restaurant,school,social_facility,taxi,toilets,waste_basket"
8828308219fffff,"bank,bench,bicycle_parking,bicycle_rental,cafe,college,community_centre,fast_food,library,money_transfer,parking,pharmacy,place_of_worship,post_box,restaurant,school,telephone,theatre"
8828309425fffff,"atm,bench,cafe,car_rental,car_sharing,childcare,community_centre,fast_food,parking,place_of_worship,restaurant,school,vending_machine,waste_basket"
8828309521fffff,"nursing_home,place_of_worship,post_box,school,telephone"
88283095c5fffff,"bench,community_centre,conference_centre,drinking_water,music_venue,parking,place_of_worship,post_box,restaurant,school,theatre,toilets,waste_basket"
88283082e7fffff,"atm,bank,bench,bicycle_parking,bicycle_rental,bus_station,cafe,car_sharing,childcare,clinic,dentist,drinking_water,fast_food,ferry_terminal,fire_station,food_court,ice_cream,library,parking,parking_entrance,parking_space,police,polling_station,post_box,post_office,public_bookcase,restaurant,school,shelter,social_facility,taxi,toilets,university,vending_machine,veterinary,waste_basket,yacht_club"
8828309553fffff,"bank,bench,bus_station,cafe,fast_food,food_court,parking,parking_entrance,parking_space,place_of_worship,school,social_facility"
88283082e5fffff,"bar,bench,bicycle_parking,bicycle_rental,parking,parking_entrance,pub,recycling,restaurant,taxi,toilets,vending_machine,waste_basket"
88283082c5fffff,"arts_centre,atm,cafe,community_centre,fast_food,fixme,fountain,hospital,parking,parking_space,pharmacy,place_of_worship,post_box,pub,restaurant,school,theatre,waste_basket"
8828309567fffff,"bench,library,parking,post_box,school,shelter,social_facility,waste_basket"
8828309517fffff,"fountain,post_box,school"
882830952dfffff,"drinking_water,library,parking,place_of_worship,post_box,school,waste_basket"
8828309525fffff,"bank,bicycle_rental,cafe,clinic,fast_food,fire_station,fuel,library,nightclub,parking,place_of_worship,post_box,pub,restaurant,school,telephone,toilets,vending_machine"
88283095a9fffff,"bank,bar,bench,bicycle_parking,bicycle_rental,cafe,clinic,dentist,fast_food,fire_station,give_box,ice_cream,language_school,motorcycle_parking,parking,parking_space,pharmacy,place_of_worship,post_box,post_office,pub,public_bookcase,restaurant,school,toilets,training,vending_machine,veterinary,waste_basket"
88283095e7fffff,"bicycle_rental,hospital,nursing_home,parking,post_box"
8828309563fffff,"parking,school"
8828309583fffff,"bar,bench,bicycle_parking,drinking_water,parking,place_of_worship,restaurant,shelter,waste_basket"
8828309527fffff,"atm,bank,bar,cafe,childcare,community_centre,library,mailbox,marketplace,parking,place_of_worship,post_box,pub,restaurant,school,toilets"
882830950dfffff,"bench,drinking_water,fast_food,parking,school,toilets"
8828309513fffff,"atm,bank,bench,bicycle_parking,bicycle_rental,cafe,charging_station,cinema,clinic,dentist,drinking_water,fast_food,food_court,parking,parking_entrance,parking_space,place_of_worship,post_box,restaurant,school,shelter,training"
88283082e9fffff,"bench,bicycle_parking,bicycle_rental,cafe,doctors,fire_station,fuel,library,parking,place_of_worship,post_box,school,social_facility,toilets,waste_basket"
88283095edfffff,"bar,fire_station,parking,place_of_worship,post_box,restaurant,school"
882830958bfffff,"bench,bicycle_parking,bicycle_rental,cafe,car_sharing,childcare,community_centre,dentist,fast_food,fuel,give_box,ice_cream,kindergarten,library,parking,place_of_worship,pub,restaurant,school,veterinary"
882830951bfffff,"atm,bar,bench,bicycle_parking,bicycle_rental,bicycle_repair_station,cafe,charging_station,device_charging_station,drinking_water,fast_food,food_court,library,loading_dock,office,parking,parking_entrance,payment_terminal,pharmacy,place_of_worship,post_box,restaurant,toilets,university,vending_machine,waste_basket"
88283095bbfffff,"atm,bank,bar,bench,bicycle_parking,cafe,cinema,dentist,fire_station,fuel,hospital,kindergarten,parking,pharmacy,place_of_worship,post_box,post_office,restaurant,school,training,vending_machine,waste_basket"
882830952bfffff,"bbq,bench,drinking_water,parking,place_of_worship,post_box,school,social_facility,toilets,waste_basket"
8828309587fffff,"bank,bench,bicycle_parking,cafe,dentist,doctors,drinking_water,kindergarten,parking,place_of_worship,post_box,post_office,prep_school,pub,public_bookcase,restaurant,school,social_facility,toilets,training,waste_basket"
88283095bdfffff,"bench,bicycle_parking,community_centre,doctors,drinking_water,kindergarten,parking,place_of_worship,post_box,public_bookcase,toilets,waste_basket"
8828309509fffff,"bench,drinking_water,school"
88283095e1fffff,"drinking_water,parking,parking_space,place_of_worship,post_box,school,shelter,toilets"
882830951dfffff,"bench,bicycle_parking,drinking_water,parking,place_of_worship,post_box,toilets,veterinary"
8828309533fffff,"bank,bench,cafe,courthouse,dentist,fuel,parking,pharmacy,place_of_worship,post_box,prison,restaurant,school"
88283095b7fffff,"bench,bicycle_parking,parking,post_box,public_bookcase,school,toilets,waste_basket"
88283095e3fffff,"atm,bank,bar,bicycle_parking,cafe,dentist,fuel,hospital,parking,pharmacy,place_of_worship,post_box,restaurant,school,theatre,vending_machine"
882830958dfffff,"atm,bank,bar,bench,bicycle_parking,cafe,clinic,fuel,parking,pharmacy,place_of_worship,post_box,restaurant,school,vending_machine,waste_basket"
88283095e5fffff,"bench,bicycle_parking,bus_station,community_centre,courthouse,credit_union,drinking_water,fast_food,fire_station,hospital,parking,parking_space,place_of_worship,post_box,prison,restaurant,school,social_centre,studio,toilets"
88283095b1fffff,"bar,bench,bicycle_parking,bicycle_rental,cafe,community_centre,dentist,doctors,dojo,drinking_water,fast_food,kindergarten,library,parking,pharmacy,place_of_worship,post_box,public_bookcase,restaurant,school,scooter_rental,table,toilets,training,vending_machine,veterinary,waste_basket"
8828308297fffff,"bench,bicycle_parking,bicycle_rental,cafe,dentist,drinking_water,fuel,library,nursing_home,parking,place_of_worship,post_box,restaurant,school,toilets,waste_basket"
8828308259fffff,"bench,parking,toilets"
88283082d9fffff,"bench,binoculars,fire_station,parking,school,toilets,waste_basket"
88283095d5fffff,"bar,bicycle_parking,cafe,parking,restaurant,school"
8828309503fffff,"bench,bicycle_parking,bicycle_rental,college,community_centre,drinking_water,nightclub,parking,place_of_worship,police,post_box,recycling,restaurant,school,toilets,waste_basket"
88283082d1fffff,"atm,bench,bicycle_parking,bicycle_rental,community_centre,drinking_water,language_school,parking,parking_entrance,place_of_worship,post_box,post_office,restaurant,school,toilets,waste_basket"
88283082dbfffff,"bench,drinking_water,parking,post_box,school"
8828308769fffff,"bar,bench,bicycle_parking,bicycle_rental,cafe,car_sharing,doctors,fast_food,fountain,fuel,parking,parking_entrance,parking_space,pharmacy,post_box,pub,restaurant,vending_machine"
8828309531fffff,"bench,childcare,community_centre,drinking_water,place_of_worship,school,toilets,waste_basket"
8828308745fffff,"bbq,bench,bicycle_parking,drinking_water,parking,parking_space,place_of_worship,ranger_station,recycling,restaurant,toilets,vending_machine,waste_basket"
882830874dfffff,"atm,bank,bar,bench,bicycle_parking,cafe,dentist,dojo,drinking_water,fast_food,fuel,hospital,marketplace,parking,place_of_worship,post_box,post_office,pub,public_bookcase,recycling,restaurant,school,taxi,training,vending_machine,waste_basket"
88283080cbfffff,"atm,bar,bench,bicycle_parking,bicycle_rental,binoculars,cafe,cruise_terminal,drinking_water,fast_food,ferry_terminal,ice_cream,kindergarten,motorcycle_parking,parking,parking_entrance,post_box,recycling,restaurant,school,taxi,telephone,theatre,toilets,university,vending_machine,waste_basket"
88283095c9fffff,"bench,fast_food,parking,restaurant"
8828309519fffff,"bbq,bench,bicycle_parking,fast_food,fuel,library,parking,place_of_worship,post_box,school,social_facility,vending_machine,waste_basket"
8828309505fffff,"bench,bicycle_rental,community_centre,drinking_water,fire_station,parking,school,toilets,waste_basket"
8828309589fffff,"bench,bicycle_parking,fire_station,library,parking,parking_space,school,table,toilets,waste_basket"
882830874bfffff,"bench,bicycle_parking,parking,waste_basket"
8828308747fffff,"bench,bicycle_parking,parking,place_of_worship,theatre,toilets,waste_basket"
8828309555fffff,"bbq,bench,cafe,community_centre,fuel,parking,place_of_worship,post_box,post_office,school"
8828309427fffff,"bank,bicycle_parking,bicycle_rental,cafe,conference_centre,drinking_water,fast_food,kindergarten,marketplace,parking,post_box,restaurant,smoking_area,university,waste_basket"
882830825bfffff,"fire_station,parking,place_of_worship,post_box,school"
8828309581fffff,"bank,bench,bicycle_rental,charging_station,drinking_water,parking,place_of_worship,post_box,restaurant,school,taxi,toilets"
88283095b9fffff,"bench,bicycle_parking,community_centre,drinking_water,parking,public_bookcase,stable,toilets,waste_basket"
8828308749fffff,"atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,childcare,clinic,dancing_school,dentist,doctors,dojo,drinking_water,fast_food,fire_station,fuel,kindergarten,library,mortuary,parking,parking_entrance,pharmacy,place_of_worship,post_box,post_office,public_bookcase,restaurant,school,toilets,vending_machine,waste_basket"
88283095abfffff,"bank,bar,bbq,bells,bench,bicycle_parking,bicycle_rental,boat_rental,cafe,car_wash,childcare,dentist,drinking_water,fast_food,fuel,kindergarten,library,music_school,parking,pharmacy,place_of_worship,post_box,prep_school,pub,recycling,restaurant,school,shelter,studio,table,theatre,toilets,training,waste_basket"
8828308209fffff,"bench,bicycle_parking,drinking_water"
88283095cdfffff,"atm,bench,bicycle_parking,bicycle_rental,cafe,charging_station,device_charging_station,drinking_water,fast_food,fire_station,food_court,ice_cream,marketplace,parking,parking_entrance,parking_space,photo_booth,place_of_worship,post_box,restaurant,school,toilets,trolley_bay,university,vending_machine"
88283095b3fffff,"bbq,bench,bicycle_parking,drinking_water,fountain,hospital,parking,restaurant,smoking_area,table,toilets,vending_machine,waste_basket"
88283095adfffff,"arts_centre,atm,bank,bar,bench,bicycle_parking,bicycle_rental,cafe,dentist,drinking_water,fast_food,fuel,hospital,library,motorcycle_parking,parking,parking_entrance,place_of_worship,post_box,restaurant,school,social_centre,toilets,university,waste_basket"
88283095a3fffff,"bench,bicycle_parking,bicycle_rental,cafe,give_box,place_of_worship,post_box,public_bookcase,restaurant,school,toilets,waste_basket"
