h3_index,geometry
882830829dfffff,"POLYGON ((-122.43458610784572 37.772267349851525, -122.43011350268341 37.77581120251895, -122.43156187542583 37.78050255819178, -122.43748319156116 37.78164987504548, -122.44195558308805 37.77810590545451, -122.44050687216347 37.77341473594332, -122.43458610784572 37.772267349851525))"
882830828bfffff,"POLYGON ((-122.42721710867485 37.76642779032926, -122.42274429006201 37.7699715260203, -122.42419231791122 37.77466332517581, -122.43011350268341 37.77581120251895, -122.43458610784572 37.772267349851525, -122.43313774173482 37.76757573682727, -122.42721710867485 37.76642779032926))"
882830958bfffff,"POLYGON ((-122.49994118106497 37.749638429542216, -122.49547367535688 37.75318429554275, -122.4969240672289 37.75787478980175, -122.50284230184937 37.75901923127999, -122.50730959258999 37.75547324856212, -122.50585886372606 37.7507829410932, -122.49994118106497 37.749638429542216))"
8828308283fffff,"POLYGON ((-122.42419231791122 37.77466332517581, -122.41971895414805 37.77820687262237, -122.42116698852692 37.78289841436256, -122.42708872508095 37.78404622259876, -122.43156187542583 37.78050255819178, -122.43011350268341 37.77581120251895, -122.42419231791122 37.77466332517581))"
882830951bfffff,"POLYGON ((-122.473491085098 37.71805100739221, -122.46902326582664 37.721596592596086, -122.47047227331272 37.7262891167457, -122.47638943732788 37.72743586896796, -122.4808570423384 37.723890166818144, -122.47940769764297 37.71919782940189, -122.473491085098 37.71805100739221))"
8828308211fffff,"POLYGON ((-122.39037926080604 37.737214941158136, -122.38590537771385 37.740758091174996, -122.38735168100284 37.74545210579771, -122.393272206091 37.746602784434785, -122.39774587665701 37.74305951717752, -122.39629923470937 37.73836568853357, -122.39037926080604 37.737214941158136))"
8828308749fffff,"POLYGON ((-122.47010924304796 37.77914640849451, -122.46563858386365 37.782691104554125, -122.46708832223761 37.787381200334465, -122.47300905750423 37.788526413654616, -122.47747950224945 37.78498160085131, -122.47602942621562 37.78029169148142, -122.47010924304796 37.77914640849451))"
8828308253fffff,"POLYGON ((-122.39643280444679 37.72073927812787, -122.39196001103699 37.724282803839806, -122.39340630191171 37.72897733180997, -122.39932572469964 37.73012814797154, -122.40379830551838 37.72658450498693, -122.40235167618863 37.72189016312337, -122.39643280444679 37.72073927812787))"
8828308769fffff,"POLYGON ((-122.4463024190072 37.79217801171267, -122.44182969605376 37.79572190988203, -122.44327876531263 37.80041212048837, -122.44920089569816 37.80155824677688, -122.4536734046784 37.7980142318056, -122.45222399729478 37.79332420735765, -122.4463024190072 37.79217801171267))"
88283082d9fffff,"POLYGON ((-122.4436555748967 37.74755905392198, -122.43918460469227 37.751103470104695, -122.44063295745423 37.75579559734247, -122.44655261834583 37.75694312205417, -122.45102337481843 37.75339858889996, -122.44957468417971 37.74870664801545, -122.4436555748967 37.74755905392198))"
8828308257fffff,"POLYGON ((-122.38604072054805 37.72313142781764, -122.38156716997229 37.72667464847833, -122.38301312221095 37.731369362460555, -122.38893296370979 37.73252066977998, -122.39340630191171 37.72897733180997, -122.39196001103699 37.724282803839806, -122.38604072054805 37.72313142781764))"
8828308217fffff,"POLYGON ((-122.38735168100284 37.74545210579771, -122.38287725292231 37.74899506765022, -122.38432356237524 37.753688825354175, -122.39024463871759 37.754839435300696, -122.39471885430447 37.751296356223854, -122.393272206091 37.746602784434785, -122.38735168100284 37.74545210579771))"
88283095edfffff,"POLYGON ((-122.45706587893915 37.73692482193845, -122.45259621201124 37.740469729746295, -122.45404489583083 37.74516192742889, -122.45996358422056 37.74630903080213, -122.46443303716792 37.74276400604362, -122.46298401575451 37.73807199487242, -122.45706587893915 37.73692482193845))"
88283095b5fffff,"POLYGON ((-122.4804993259132 37.77674669097086, -122.47602942621562 37.78029169148142, -122.47747950224945 37.78498160085131, -122.4833998155077 37.78612632321605, -122.48786950054948 37.78258120599892, -122.4864190870373 37.777891483133494, -122.4804993259132 37.77674669097086))"
88283082bbfffff,"POLYGON ((-122.4285371044262 37.78873732075713, -122.42406340880041 37.79228079669274, -122.42551179471978 37.796971637173684, -122.43143421469924 37.798118815695084, -122.435907696754 37.79457522286775, -122.43445897244875 37.78988456842068, -122.4285371044262 37.78873732075713))"
88283095c5fffff,"POLYGON ((-122.47783878910278 37.7321279500406, -122.47337063960003 37.73567346557029, -122.47481999842594 37.74036529013595, -122.48073784403425 37.7415114124821, -122.48520577912342 37.73796578007567, -122.48375608306627 37.73327414220971, -122.47783878910278 37.7321279500406))"
8828308219fffff,"POLYGON ((-122.39340630191171 37.72897733180997, -122.38893296370979 37.73252066977998, -122.39037926080604 37.737214941158136, -122.39629923470937 37.73836568853357, -122.40077236035269 37.73482223330702, -122.39932572469964 37.73012814797154, -122.39340630191171 37.72897733180997))"
882830825bfffff,"POLYGON ((-122.39945876853805 37.7125007804866, -122.39498651982231 37.71604449372919, -122.39643280444679 37.72073927812787, -122.40235167618863 37.72189016312337, -122.40682371228095 37.718346332591885, -122.40537708930319 37.71365173436372, -122.39945876853805 37.7125007804866))"
88283082cdfffff,"POLYGON ((-122.40813889567377 37.74066613210137, -122.40366598277384 37.744209704531634, -122.4051129695667 37.74890309031136, -122.41103320770603 37.75005271756699, -122.41550590767771 37.74650902798579, -122.41405858248666 37.741815828309846, -122.40813889567377 37.74066613210137))"
8828309553fffff,"POLYGON ((-122.46914443486801 37.703971967272736, -122.46467694585064 37.70751762185414, -122.46612560210794 37.71221084509558, -122.47204208461838 37.713358226998444, -122.47650935952757 37.70981245540181, -122.47506036608289 37.70511941892739, -122.46914443486801 37.703971967272736))"
88283095a5fffff,"POLYGON ((-122.45537014961292 37.76747301085173, -122.45089906210502 37.77101747326509, -122.45234811103035 37.77570845652046, -122.45826858533128 37.77685479102239, -122.4627394587698 37.77331021175941, -122.4612900720252 37.76861941485404, -122.45537014961292 37.76747301085173))"
88283082dbfffff,"POLYGON ((-122.45102337481843 37.75339858889996, -122.44655261834583 37.75694312205417, -122.44800131577514 37.76163480597738, -122.4539211075227 37.76278177037268, -122.45839165007875 37.759237120299936, -122.45694261485225 37.754545622760304, -122.45102337481843 37.75339858889996))"
882830876bfffff,"POLYGON ((-122.4536734046784 37.7980142318056, -122.44920089569816 37.80155824677688, -122.4506503099042 37.806248013413196, -122.45657257118403 37.80739357889952, -122.46104486600606 37.803849447179225, -122.45959511375494 37.799159866731564, -122.4536734046784 37.7980142318056))"
8828309539fffff,"POLYGON ((-122.44233298762562 37.72524344429653, -122.43786289329054 37.728788118044086, -122.43931088806146 37.7334812018286, -122.44522931496871 37.73462942542478, -122.44969919569253 37.731084634620586, -122.44825086316872 37.72639173728677, -122.44233298762562 37.72524344429653))"
8828308215fffff,"POLYGON ((-122.3799849851358 37.73960685251054, -122.37551034474653 37.743149697085975, -122.3769563091957 37.747843897592965, -122.38287725292231 37.74899506765022, -122.38735168100284 37.74545210579771, -122.38590537771385 37.740758091174996, -122.3799849851358 37.73960685251054))"
88283095c7fffff,"POLYGON ((-122.48520577912342 37.73796578007567, -122.48073784403425 37.7415114124821, -122.48218754721552 37.74620279374168, -122.48810552268584 37.74734835587488, -122.49257324317678 37.74380260664484, -122.49112320284402 37.73911141211509, -122.48520577912342 37.73796578007567))"
8828308291fffff,"POLYGON ((-122.44195558308805 37.77810590545451, -122.43748319156116 37.78164987504548, -122.4389319091904 37.78634078710608, -122.44485335649753 37.7874875433937, -122.4493255342041 37.783943456932086, -122.44787647847228 37.77925273106344, -122.44195558308805 37.77810590545451))"
882830874bfffff,"POLYGON ((-122.47747950224945 37.78498160085131, -122.47300905750423 37.788526413654616, -122.4744591405927 37.79321606550348, -122.48038000605497 37.794360718118284, -122.48485023617627 37.79081578862429, -122.4833998155077 37.78612632321605, -122.47747950224945 37.78498160085131))"
88283082d5fffff,"POLYGON ((-122.43024136094475 37.758191810197026, -122.42576908738397 37.76173573392154, -122.42721710867485 37.76642779032926, -122.43313774173482 37.76757573682727, -122.43760980181288 37.764031696110386, -122.4361614423621 37.7593398258978, -122.43024136094475 37.758191810197026))"
88283082bdfffff,"POLYGON ((-122.41077092287513 37.78529347359727, -122.40629625534778 37.78883652694052, -122.40774395758072 37.79352799701161, -122.41366666603628 37.794676227840164, -122.41814112039496 37.7911330575155, -122.41669307951518 37.786441773353644, -122.41077092287513 37.78529347359727))"
88283095e9fffff,"POLYGON ((-122.46745292404493 37.73452678308768, -122.46298401575451 37.73807199487242, -122.46443303716792 37.74276400604362, -122.47035130433265 37.7439106188344, -122.47481999842594 37.74036529013595, -122.47337063960003 37.73567346557029, -122.46745292404493 37.73452678308768))"
8828308761fffff,"POLYGON ((-122.44327876531263 37.80041212048837, -122.43880549701393 37.80395583015459, -122.44025457299334 37.80864578288546, -122.44617725554659 37.809791839865504, -122.4506503099042 37.806248013413196, -122.44920089569816 37.80155824677688, -122.44327876531263 37.80041212048837))"
8828309583fffff,"POLYGON ((-122.4969240672289 37.75787478980175, -122.49245601683499 37.76142046892287, -122.49390641594889 37.76611070621372, -122.49982520259867 37.76725507766712, -122.50429303805677 37.76370928184464, -122.50284230184937 37.75901923127999, -122.4969240672289 37.75787478980175))"
88283095b1fffff,"POLYGON ((-122.49088822709805 37.7743461784041, -122.4864190870373 37.777891483133494, -122.48786950054948 37.78258120599892, -122.49378939146769 37.783725437546344, -122.49825831665608 37.780180016147504, -122.49680756584708 37.77549047988053, -122.49088822709805 37.7743461784041))"
88283095ebfffff,"POLYGON ((-122.47481999842594 37.74036529013595, -122.47035130433265 37.7439106188344, -122.47180067018107 37.74860218672978, -122.47771906750403 37.74974823930079, -122.48218754721552 37.74620279374168, -122.48073784403425 37.7415114124821, -122.47481999842594 37.74036529013595))"
88283095b3fffff,"POLYGON ((-122.49825831665608 37.780180016147504, -122.49378939146769 37.783725437546344, -122.49524014953477 37.78841471642, -122.50116017005557 37.78955838727615, -122.50562888018678 37.78601284926093, -122.5041777849028 37.7813237570158, -122.49825831665608 37.780180016147504))"
882830959dfffff,"POLYGON ((-122.50730959258999 37.75547324856212, -122.50284230184937 37.75901923127999, -122.50429303805677 37.76370928184464, -122.51021140196531 37.76485316288111, -122.51467847755382 37.761307063499046, -122.51322740443437 37.75661719975453, -122.50730959258999 37.75547324856212))"
8828309585fffff,"POLYGON ((-122.47916877778088 37.75443936379076, -122.47469975334872 37.75798462229148, -122.47614947069269 37.762675489848675, -122.48206854987198 37.76382091231292, -122.48653735976947 37.76027553702066, -122.48508730507079 37.755584856065546, -122.47916877778088 37.75443936379076))"
8828309535fffff,"POLYGON ((-122.4289214018594 37.735876974057675, -122.42445000474562 37.739421156138576, -122.42589766815368 37.74411416961635, -122.43181706675969 37.74526281473063, -122.43628825051117 37.74171851557236, -122.43484024906729 37.73702568838709, -122.4289214018594 37.735876974057675))"
88283095c9fffff,"POLYGON ((-122.49124063086619 37.72149042339022, -122.48677378472681 37.72503642885799, -122.48822347363136 37.72972832316704, -122.4941403456721 37.73087402516052, -122.4986069771498 37.72732790283693, -122.49715695129687 37.72263619538553, -122.49124063086619 37.72149042339022))"
8828309525fffff,"POLYGON ((-122.40379830551838 37.72658450498693, -122.39932572469964 37.73012814797154, -122.40077236035269 37.73482223330702, -122.40669191524859 37.73597248953065, -122.41116428329157 37.73242872932619, -122.40971730926277 37.72773483012785, -122.40379830551838 37.72658450498693))"
8828308251fffff,"POLYGON ((-122.38906778027392 37.714893048956526, -122.38459477445784 37.71843645734297, -122.38604072054805 37.72313142781764, -122.39196001103699 37.724282803839806, -122.39643280444679 37.72073927812787, -122.39498651982231 37.71604449372919, -122.38906778027392 37.714893048956526))"
8828309567fffff,"POLYGON ((-122.40984858076718 37.71010771649662, -122.40537708930319 37.71365173436372, -122.40682371228095 37.718346332591885, -122.41274216494323 37.71949672669786, -122.41721344356674 37.71595259157857, -122.41576648241679 37.7112581796154, -122.40984858076718 37.71010771649662))"
8828309517fffff,"POLYGON ((-122.46008632427028 37.72868727280308, -122.4556172019673 37.73223236762108, -122.45706587893915 37.73692482193845, -122.46298401575451 37.73807199487242, -122.46745292404493 37.73452678308768, -122.46600390958095 37.72983451534558, -122.46008632427028 37.72868727280308))"
882830821dfffff,"POLYGON ((-122.38301312221095 37.731369362460555, -122.37853902677749 37.734912395184224, -122.3799849851358 37.73960685251054, -122.38590537771385 37.740758091174996, -122.39037926080604 37.737214941158136, -122.38893296370979 37.73252066977998, -122.38301312221095 37.731369362460555))"
88283082c1fffff,"POLYGON ((-122.41550590767771 37.74650902798579, -122.41103320770603 37.75005271756699, -122.41248053933784 37.75474566035253, -122.41840090930853 37.755894727432555, -122.4228733961672 37.75235092075327, -122.42142572621657 37.747658164102, -122.41550590767771 37.74650902798579))"
8828309519fffff,"POLYGON ((-122.46612560210794 37.71221084509558, -122.46165756876024 37.71575631330038, -122.46310623195092 37.720449280397254, -122.46902326582664 37.721596592596086, -122.473491085098 37.71805100739221, -122.47204208461838 37.713358226998444, -122.46612560210794 37.71221084509558))"
8828308213fffff,"POLYGON ((-122.39774587665701 37.74305951717752, -122.393272206091 37.746602784434785, -122.39471885430447 37.751296356223854, -122.40063951171169 37.75244647475627, -122.4051129695667 37.74890309031136, -122.40366598277384 37.744209704531634, -122.39774587665701 37.74305951717752))"
882830951dfffff,"POLYGON ((-122.45574066521506 37.71460844120174, -122.45127187357896 37.718153605782796, -122.45272019929955 37.72284675948857, -122.4586376541747 37.72399456201426, -122.46310623195092 37.720449280397254, -122.46165756876024 37.71575631330038, -122.45574066521506 37.71460844120174))"
88283082cbfffff,"POLYGON ((-122.42589766815368 37.74411416961635, -122.42142572621657 37.747658164102, -122.4228733961672 37.75235092075327, -122.42879334624087 37.75349949670023, -122.4332650748479 37.749955385153285, -122.43181706675969 37.74526281473063, -122.42589766815368 37.74411416961635))"
8828309427fffff,"POLYGON ((-122.48387475825952 37.715651940843095, -122.47940769764297 37.71919782940189, -122.4808570423384 37.723890166818144, -122.48677378472681 37.72503642885799, -122.49124063086619 37.72149042339022, -122.4897909491427 37.716798272801455, -122.48387475825952 37.715651940843095))"
882830953bfffff,"POLYGON ((-122.44969919569253 37.731084634620586, -122.44522931496871 37.73462942542478, -122.44667765426718 37.73932206622323, -122.45259621201124 37.740469729746295, -122.45706587893915 37.73692482193845, -122.4556172019673 37.73223236762108, -122.44969919569253 37.731084634620586))"
8828308289fffff,"POLYGON ((-122.41984858577301 37.760587227094085, -122.41537555389459 37.76413084575589, -122.41682323684428 37.768823088264455, -122.42274429006201 37.7699715260203, -122.42721710867485 37.76642779032926, -122.42576908738397 37.76173573392154, -122.41984858577301 37.760587227094085))"
88283095cdfffff,"POLYGON ((-122.4808570423384 37.723890166818144, -122.47638943732788 37.72743586896796, -122.47783878910278 37.7321279500406, -122.48375608306627 37.73327414220971, -122.48822347363136 37.72972832316704, -122.48677378472681 37.72503642885799, -122.4808570423384 37.723890166818144))"
88283095d5fffff,"POLYGON ((-122.5029577575839 37.741401625809274, -122.49849079646327 37.74494767847819, -122.49994118106497 37.749638429542216, -122.50585886372606 37.7507829410932, -122.5103256098476 37.74723677169091, -122.50887488835558 37.742546207480856, -122.5029577575839 37.741401625809274))"
88283095abfffff,"POLYGON ((-122.47614947069269 37.762675489848675, -122.4716799014415 37.766220561080004, -122.473129625824 37.77091117154125, -122.47904925696255 37.77205652424289, -122.48351861171089 37.768511336236, -122.48206854987198 37.76382091231292, -122.47614947069269 37.762675489848675))"
882830820bfffff,"POLYGON ((-122.37564746106892 37.72552278129231, -122.37117315347894 37.72906569667006, -122.3726187669005 37.73376059656979, -122.37853902677749 37.734912395184224, -122.38301312221095 37.731369362460555, -122.38156716997229 37.72667464847833, -122.37564746106892 37.72552278129231))"
88283082ebfffff,"POLYGON ((-122.40208650484344 37.75713960358171, -122.39761250193513 37.76068279983014, -122.39905950137711 37.765375671538024, -122.40498084237768 37.76652516103145, -122.40945463242254 37.76298184766419, -122.40800729437866 37.758289161932304, -122.40208650484344 37.75713960358171))"
8828309557fffff,"POLYGON ((-122.45876059356577 37.70636968013481, -122.45429234632627 37.70991503128748, -122.45574066521506 37.71460844120174, -122.46165756876024 37.71575631330038, -122.46612560210794 37.71221084509558, -122.46467694585064 37.70751762185414, -122.45876059356577 37.70636968013481))"
8828309555fffff,"POLYGON ((-122.45139605966908 37.700527512716654, -122.44692759872224 37.704072746764105, -122.44837557330267 37.70876659936582, -122.45429234632627 37.70991503128748, -122.45876059356577 37.70636968013481, -122.45731228153733 37.701676014175575, -122.45139605966908 37.700527512716654))"
8828308295fffff,"POLYGON ((-122.43156187542583 37.78050255819178, -122.42708872508095 37.78404622259876, -122.4285371044262 37.78873732075713, -122.43445897244875 37.78988456842068, -122.4389319091904 37.78634078710608, -122.43748319156116 37.78164987504548, -122.43156187542583 37.78050255819178))"
88283095b9fffff,"POLYGON ((-122.49390641594889 37.76611070621372, -122.48943782077076 37.76965619824446, -122.49088822709805 37.7743461784041, -122.49680756584708 37.77549047988053, -122.5012759461211 37.77194487116442, -122.49982520259867 37.76725507766712, -122.49390641594889 37.76611070621372))"
88283095c1fffff,"POLYGON ((-122.48822347363136 37.72972832316704, -122.48375608306627 37.73327414220971, -122.48520577912342 37.73796578007567, -122.49112320284402 37.73911141211509, -122.49559037877916 37.73556547623275, -122.4941403456721 37.73087402516052, -122.48822347363136 37.72972832316704))"
88283095ddfffff,"POLYGON ((-122.50597379691253 37.733164378977165, -122.501507380281 37.73671061810342, -122.5029577575839 37.741401625809274, -122.50887488835558 37.742546207480856, -122.51334108995641 37.73899985160514, -122.51189037586472 37.73430903081717, -122.50597379691253 37.733164378977165))"
882830952dfffff,"POLYGON ((-122.40682371228095 37.718346332591885, -122.40235167618863 37.72189016312337, -122.40379830551838 37.72658450498693, -122.40971730926277 37.72773483012785, -122.41418913254694 37.72419088236037, -122.41274216494323 37.71949672669786, -122.40682371228095 37.718346332591885))"
882830874dfffff,"POLYGON ((-122.45971797898419 37.781545330604914, -122.45524656046348 37.785089721981564, -122.45669596099604 37.78978000407825, -122.46261711793915 37.79092570849186, -122.46708832223761 37.787381200334465, -122.46563858386365 37.782691104554125, -122.45971797898419 37.781545330604914))"
8828308299fffff,"POLYGON ((-122.44497871857398 37.769870578286934, -122.44050687216347 37.77341473594332, -122.44195558308805 37.77810590545451, -122.44787647847228 37.77925273106344, -122.45234811103035 37.77570845652046, -122.45089906210502 37.77101747326509, -122.44497871857398 37.769870578286934))"
88283095e3fffff,"POLYGON ((-122.47180067018107 37.74860218672978, -122.46733143139899 37.75214732838591, -122.46878080424135 37.75683863944775, -122.47469975334872 37.75798462229148, -122.47916877778088 37.75443936379076, -122.47771906750403 37.74974823930079, -122.47180067018107 37.74860218672978))"
8828309537fffff,"POLYGON ((-122.43628825051117 37.74171851557236, -122.43181706675969 37.74526281473063, -122.4332650748479 37.749955385153285, -122.43918460469227 37.751103470104695, -122.4436555748967 37.74755905392198, -122.44220722885217 37.74286666982221, -122.43628825051117 37.74171851557236))"
882830950dfffff,"POLYGON ((-122.43062467518666 37.70531920343244, -122.4261546986797 37.70886382985328, -122.42760199782084 37.713558055457014, -122.43351961132745 37.71470746819596, -122.43798937456032 37.711162724596356, -122.436541737609 37.706468685446445, -122.43062467518666 37.70531920343244))"
8828309513fffff,"POLYGON ((-122.47047227331272 37.7262891167457, -122.46600390958095 37.72983451534558, -122.46745292404493 37.73452678308768, -122.47337063960003 37.73567346557029, -122.47783878910278 37.7321279500406, -122.47638943732788 37.72743586896796, -122.47047227331272 37.7262891167457))"
882830958dfffff,"POLYGON ((-122.48218754721552 37.74620279374168, -122.47771906750403 37.74974823930079, -122.47916877778088 37.75443936379076, -122.48508730507079 37.755584856065546, -122.48955557021581 37.7520392936989, -122.48810552268584 37.74734835587488, -122.48218754721552 37.74620279374168))"
8828309505fffff,"POLYGON ((-122.42760199782084 37.713558055457014, -122.42313147681722 37.71710249493237, -122.42457878251383 37.72179646429934, -122.43049694717425 37.72294580781096, -122.4349672549359 37.71940125117305, -122.43351961132745 37.71470746819596, -122.42760199782084 37.713558055457014))"
8828308287fffff,"POLYGON ((-122.41379734925398 37.77705850389022, -122.40932322704121 37.78060174588399, -122.41077092287513 37.78529347359727, -122.41669307951518 37.786441773353644, -122.42116698852692 37.78289841436256, -122.41971895414805 37.77820687262237, -122.41379734925398 37.77705850389022))"
88283082c7fffff,"POLYGON ((-122.41248053933784 37.75474566035253, -122.40800729437866 37.758289161932304, -122.40945463242254 37.76298184766419, -122.41537555389459 37.76413084575589, -122.41984858577301 37.760587227094085, -122.41840090930853 37.755894727432555, -122.41248053933784 37.75474566035253))"
